,B_mcrsvrmcrmres,B_mngsvrmngmres,B_mcrsvrallcode,B_mcrsvrcode4xxRateFail,B_mcrsvrcode5xxRateFail,B_mngsvrallcode,B_mngsvrcode4xxRateFail,B_mngsvrcode5xxRateFail,B_mjssvrcode5xxRateFail,B_mjssvrallcode,B_mjssvrcode4xxRateFail,W_mcrsvrmcrmres,W_mngsvrmngmres,W_mcrsvrallcode,W_mcrsvrcode4xxRateFail,W_mcrsvrcode5xxRateFail,W_mngsvrallcode,W_mngsvrcode4xxRateFail,W_mngsvrcode5xxRateFail,W_mjssvrcode5xxRateFail,W_mjssvrallcode,W_mjssvrcode4xxRateFail,I_mcrsvrmcrmres,I_mngsvrmngmres,I_mcrsvrallcode,I_mcrsvrcode4xxRateFail,I_mcrsvrcode5xxRateFail,I_mngsvrallcode,I_mngsvrcode4xxRateFail,I_mngsvrcode5xxRateFail,I_mjssvrcode5xxRateFail,I_mjssvrallcode,I_mjssvrcode4xxRateFail,AI_mcrsvrmcrmres,AI_mngsvrmngmres,AI_mcrsvrallcode,AI_mcrsvrcode4xxRateFail,AI_mcrsvrcode5xxRateFail,AI_mngsvrallcode,AI_mngsvrcode4xxRateFail,AI_mngsvrcode5xxRateFail,AI_mjssvrcode5xxRateFail,AI_mjssvrallcode,AI_mjssvrcode4xxRateFail,IJ_mcrsvrmcrmres,IJ_mngsvrmngmres,IJ_mcrsvrallcode,IJ_mcrsvrcode4xxRateFail,IJ_mcrsvrcode5xxRateFail,IJ_mngsvrallcode,IJ_mngsvrcode4xxRateFail,IJ_mngsvrcode5xxRateFail,IJ_mjssvrcode5xxRateFail,IJ_mjssvrallcode,IJ_mjssvrcode4xxRateFail,IE_mcrsvrmcrmres,IE_mngsvrmngmres,IE_mcrsvrallcode,IE_mcrsvrcode4xxRateFail,IE_mcrsvrcode5xxRateFail,IE_mngsvrallcode,IE_mngsvrcode4xxRateFail,IE_mngsvrcode5xxRateFail,IE_mjssvrcode5xxRateFail,IE_mjssvrallcode,IE_mjssvrcode4xxRateFail,S_mcrsvrmcrmres,S_mngsvrmngmres,S_mcrsvrallcode,S_mcrsvrcode4xxRateFail,S_mcrsvrcode5xxRateFail,S_mngsvrallcode,S_mngsvrcode4xxRateFail,S_mngsvrcode5xxRateFail,S_mjssvrcode5xxRateFail,S_mjssvrallcode,S_mjssvrcode4xxRateFail,AC_mcrsvrmcrmres,AC_mngsvrmngmres,AC_mcrsvrallcode,AC_mcrsvrcode4xxRateFail,AC_mcrsvrcode5xxRateFail,AC_mngsvrallcode,AC_mngsvrcode4xxRateFail,AC_mngsvrcode5xxRateFail,AC_mjssvrcode5xxRateFail,AC_mjssvrallcode,AC_mjssvrcode4xxRateFail,L_mcrsvrmcrmres,L_mngsvrmngmres,L_mcrsvrallcode,L_mcrsvrcode4xxRateFail,L_mcrsvrcode5xxRateFail,L_mngsvrallcode,L_mngsvrcode4xxRateFail,L_mngsvrcode5xxRateFail,L_mjssvrcode5xxRateFail,L_mjssvrallcode,L_mjssvrcode4xxRateFail,R_mcrsvrmcrmres,R_mngsvrmngmres,R_mcrsvrallcode,R_mcrsvrcode4xxRateFail,R_mcrsvrcode5xxRateFail,R_mngsvrallcode,R_mngsvrcode4xxRateFail,R_mngsvrcode5xxRateFail,R_mjssvrcode5xxRateFail,R_mjssvrallcode,R_mjssvrcode4xxRateFail,M_mcrsvrmcrmres,M_mngsvrmngmres,M_mcrsvrallcode,M_mcrsvrcode4xxRateFail,M_mcrsvrcode5xxRateFail,M_mngsvrallcode,M_mngsvrcode4xxRateFail,M_mngsvrcode5xxRateFail,M_mjssvrcode5xxRateFail,M_mjssvrallcode,M_mjssvrcode4xxRateFail,AA_mcrsvrmcrmres,AA_mngsvrmngmres,AA_mcrsvrallcode,AA_mcrsvrcode4xxRateFail,AA_mcrsvrcode5xxRateFail,AA_mngsvrallcode,AA_mngsvrcode4xxRateFail,AA_mngsvrcode5xxRateFail,AA_mjssvrcode5xxRateFail,AA_mjssvrallcode,AA_mjssvrcode4xxRateFail,AB_mcrsvrmcrmres,AB_mngsvrmngmres,AB_mcrsvrallcode,AB_mcrsvrcode4xxRateFail,AB_mcrsvrcode5xxRateFail,AB_mngsvrallcode,AB_mngsvrcode4xxRateFail,AB_mngsvrcode5xxRateFail,AB_mjssvrcode5xxRateFail,AB_mjssvrallcode,AB_mjssvrcode4xxRateFail,IA_mcrsvrmcrmres,IA_mngsvrmngmres,IA_mcrsvrallcode,IA_mcrsvrcode4xxRateFail,IA_mcrsvrcode5xxRateFail,IA_mngsvrallcode,IA_mngsvrcode4xxRateFail,IA_mngsvrcode5xxRateFail,IA_mjssvrcode5xxRateFail,IA_mjssvrallcode,IA_mjssvrcode4xxRateFail,AS_mcrsvrmcrmres,AS_mngsvrmngmres,AS_mcrsvrallcode,AS_mcrsvrcode4xxRateFail,AS_mcrsvrcode5xxRateFail,AS_mngsvrallcode,AS_mngsvrcode4xxRateFail,AS_mngsvrcode5xxRateFail,AS_mjssvrcode5xxRateFail,AS_mjssvrallcode,AS_mjssvrcode4xxRateFail,AP_mcrsvrmcrmres,AP_mngsvrmngmres,AP_mcrsvrallcode,AP_mcrsvrcode4xxRateFail,AP_mcrsvrcode5xxRateFail,AP_mngsvrallcode,AP_mngsvrcode4xxRateFail,AP_mngsvrcode5xxRateFail,AP_mjssvrcode5xxRateFail,AP_mjssvrallcode,AP_mjssvrcode4xxRateFail
1558195200,9.0,21.0,394.0,0.0,0.0,1786.0,0.0,0.0,0.0,1909.0,0.0,374.197,626.466,1329.0,4.1384,0.3762,3181.0,0.3772,0.0,0.0,1975.0,1.519,353.974,587.201,798.0,0.0,0.0,4757.0,0.1682,0.0,0.0,6759.0,0.0,334.788,709.21,1806.0,1.3289,0.0,3458.0,0.2024,0.0,0.0,2665.0,1.1632,73.0,28.696,271.0,0.0,0.0,807.0,0.0,0.0,0.0,884.0,0.0,22.947,35.0,547.0,0.0,0.0,3086.0,0.0,0.0,0.0,2843.0,0.0,7.0,36.0,903.0,0.0,0.0,2882.0,0.0,0.0,0.0,2975.0,0.0,7.0,36.136,340.0,0.0,0.0,1211.0,0.0,0.0,0.0,1241.0,0.0,226.15,227.0,2579.0,5.157,0.0,12175.0,1.0267,0.0,0.0,6463.0,4.6728,156.935,250.976,1842.0,0.0,0.0543,2010.0,0.5473,0.0,0.0,2752.0,0.0,210.829,319.852,1668.0,3.777,0.0,9139.0,1.6523,0.0,0.0,12131.0,1.896,225.91,337.992,2904.0,1.1019,0.0,10505.0,0.8758,0.0,0.0,7727.0,1.3071,303.755,332.148,2751.0,2.4718,0.1454,12465.0,0.9948,0.0,0.0,6134.0,2.7877,197.0,18.994,328.0,0.0,0.0,1484.0,0.0,0.0,0.0,433.0,0.0,872.096,818.772,1578.0,15.5894,0.0,5269.0,0.3796,0.0,0.0,3069.0,7.4291,0.0,155.686,0.0,0.0,0.0,1378.0,0.0,0.0,0.0,816.0,0.0
1558195500,25.0,31.87,408.0,0.0,0.0,1762.0,0.0,0.0,8.0,1970.0,0.0,383.56,625.807,1305.0,1.9923,0.3831,3231.0,0.5571,0.0,0.0,1969.0,1.4728,371.564,602.628,901.0,0.0,0.0,4664.0,0.1286,0.0,0.0,6724.0,0.0,214.512,554.311,1748.0,1.659,0.0,3553.0,0.1689,0.0,0.0,2627.0,1.1039,13.0,29.695,282.0,0.0,0.0,817.0,0.0,0.0,0.0,860.0,0.0,8.916,38.414,547.0,0.0,0.0,3065.0,0.0,0.0,0.0,2884.0,0.0,54.0,37.342,919.0,0.0,0.0,2829.0,0.0,0.0,0.0,3001.0,0.0,23.0,38.0,350.0,0.0,0.0,1250.0,0.0,0.0,0.0,1283.0,0.0,247.705,215.0,2635.0,4.5541,0.0,13531.0,1.1973,0.0665,0.0,6387.0,4.7127,166.586,273.785,1938.0,0.258,0.0,2245.0,0.4454,0.0,0.0,2716.0,0.0,267.898,335.55,1936.0,4.9587,0.0,9073.0,1.5871,0.011,0.0,9302.0,2.3758,283.88,332.777,2377.0,1.5566,0.0,10721.0,1.2312,0.0093,368.476,7386.0,1.4351,315.64,344.064,3180.0,3.1447,0.1258,12966.0,1.126,0.0,0.0,6077.0,2.9949,66.0,17.992,333.0,0.0,0.0,1502.0,0.0,0.0,0.0,433.0,0.0,1071.688,743.214,1884.0,14.5435,0.0,5026.0,0.8158,0.0,0.0,3144.0,7.3791,0.0,138.078,0.0,0.0,0.0,1346.0,0.0,0.0,0.0,799.0,0.0
1558195800,6.0,25.686,397.0,0.0,0.0,1772.0,0.0,0.0,7.543,1946.0,0.0,1309.027,608.798,1043.0,3.5475,0.5753,3074.0,0.4554,0.0,0.0,1953.0,1.4337,287.237,589.352,807.0,0.1239,0.0,4658.0,0.1717,0.0,0.0,6648.0,0.0,585.678,661.696,1806.0,1.495,0.0,3476.0,0.1726,0.0,0.0,2642.0,1.2869,6.0,35.388,278.0,0.0,0.0,799.0,0.0,0.0,0.0,849.0,0.0,10.811,35.368,556.0,0.0,0.0,3123.0,0.0,0.0,0.0,2810.0,0.0,24.222,36.0,889.0,0.0,0.0,2909.0,0.0,0.0,0.0,2993.0,0.0,53.0,39.0,351.0,0.0,0.0,1245.0,0.0,0.0,0.0,1267.0,0.0,217.584,210.412,2522.0,2.6566,0.0,12703.0,1.0076,0.0,0.0,6245.0,4.7398,233.974,257.76,1866.0,0.0,0.0536,2031.0,0.1969,0.0,0.0,2645.0,0.0,277.01,361.368,1900.0,3.1579,0.0,8773.0,1.687,0.0,0.0,9120.0,2.5329,290.212,369.188,2354.0,1.9116,0.0,9943.0,0.9253,0.0,378.96,7207.0,1.554,259.518,341.653,2963.0,3.645,0.135,11943.0,1.0131,0.0,0.0,6165.0,2.8548,69.0,20.01,321.0,0.0,0.0,1468.0,0.0,0.0,0.0,432.0,0.0,1502.98,858.55,1751.0,13.6493,0.0,4309.0,0.2321,0.0,0.0,3014.0,8.4605,0.0,208.076,0.0,0.0,0.0,1344.0,0.0,0.0,0.0,821.0,0.0
1558196100,23.0,98.534,390.0,0.0,0.0,1724.0,0.0,0.0,8.609,1910.0,0.0,238.321,615.182,1131.0,3.6251,0.4421,3101.0,0.4515,0.0,0.0,1928.0,1.1929,248.375,456.757,875.0,1.3714,0.0,4581.0,0.2183,0.0,0.0,6599.0,0.0,282.17,711.391,1805.0,1.8837,0.0,3529.0,0.17,0.0,0.0,2586.0,1.1601,5.0,28.408,271.0,0.0,0.0,796.0,0.0,0.0,0.0,838.0,0.0,23.616,34.419,535.0,0.0,0.0,3081.0,0.0,0.0,0.0,2804.0,0.0,10.382,33.598,875.0,0.0,0.0,2878.0,0.0,0.0,0.0,2944.0,0.0,14.0,37.528,334.0,0.0,0.0,1236.0,0.0,0.0,0.0,1202.0,0.0,230.5,209.006,2999.0,2.3675,0.0,12479.0,1.3302,0.0,0.0,6497.0,4.2943,258.16,331.956,1046.0,0.0,0.0956,2049.0,0.488,0.0488,0.0,2707.0,0.0,228.37,328.549,1665.0,3.1832,0.0,8948.0,1.6093,0.0112,0.0,9134.0,2.5181,360.841,365.648,2427.0,1.6481,0.0,9795.0,1.3068,0.0102,324.611,7322.0,1.5296,357.125,365.875,2625.0,2.3619,0.1524,11726.0,1.2963,0.0,0.0,5952.0,2.9066,139.0,64.978,326.0,0.0,0.0,1522.0,0.0,0.0,0.0,438.0,0.0,771.716,1037.946,1642.0,13.8855,0.0,4666.0,0.7715,0.0,0.0,2828.0,8.0976,0.0,138.206,0.0,0.0,0.0,1366.0,0.0,0.0,0.0,801.0,0.0
1558196400,23.0,22.0,392.0,0.0,0.0,1761.0,0.0,0.0,17.707,1929.0,0.0,270.201,622.005,1023.0,11.9257,0.4888,3011.0,0.3321,0.0,0.0,1964.0,0.7637,340.122,562.18,846.0,0.2364,0.0,4598.0,0.1957,0.0,0.0,6730.0,0.0149,1808.288,622.929,1826.0,0.8762,0.0,3399.0,0.2059,0.0,0.0,2583.0,1.3937,5.0,30.362,274.0,0.0,0.0,819.0,0.0,0.0,0.0,853.0,0.0,25.0,41.0,550.0,0.0,0.0,3072.0,0.0,0.0,0.0,2880.0,0.0,18.761,34.0,907.0,0.0,0.0,2893.0,0.0,0.0,0.0,2997.0,0.0,24.0,37.49,342.0,0.0,0.0,1248.0,0.0,0.0,0.0,1243.0,0.0,222.312,215.019,2724.0,1.909,0.0,11827.0,1.1499,0.0,0.0,6357.0,4.1529,193.918,266.816,584.0,1.0274,0.0,2075.0,0.1928,0.0,0.0,2734.0,0.0,248.694,333.262,1653.0,2.4198,0.0,8745.0,1.6924,0.0114,0.0,10869.0,2.1437,320.2,339.103,2601.0,1.9223,0.0,9800.0,1.0,0.0,370.76,7563.0,1.3619,298.68,371.112,2940.0,2.1429,0.1361,11574.0,0.985,0.0,0.0,8335.0,2.1236,64.0,27.016,308.0,0.0,0.0,1483.0,0.0,0.0,0.0,441.0,0.0,649.87,863.78,1630.0,14.908,0.0,4574.0,0.2624,0.0219,0.0,2798.0,8.0057,0.0,137.264,0.0,0.0,0.0,1368.0,0.0,0.0,0.0,800.0,0.0
1558196700,6.0,71.312,394.0,0.0,0.0,1768.0,0.0,0.0,8.0,1900.0,0.0,326.712,654.56,1268.0,9.4637,0.3943,3080.0,0.6494,0.0,0.0,1952.0,0.7172,268.35,619.566,850.0,0.0,0.0,4702.0,0.2127,0.0,0.0,6675.0,0.0,1004.341,730.227,1701.0,0.2352,0.0,3863.0,0.4142,0.0518,0.0,2636.0,1.3278,61.0,31.464,277.0,0.0,0.0,819.0,0.0,0.0,0.0,850.0,0.0,44.12,42.431,530.0,0.0,0.0,3053.0,0.0,0.0,0.0,2772.0,0.0,61.662,36.83,879.0,0.0,0.0,2864.0,0.0,0.0,0.0,2908.0,0.0,17.0,41.336,334.0,0.0,0.0,1239.0,0.0,0.0,0.0,1198.0,0.0,234.128,216.636,2406.0,2.4522,0.0,12182.0,1.297,0.0,0.0,5950.0,4.5378,195.0,298.085,477.0,0.2096,0.2096,2036.0,0.5403,0.0,0.0,2600.0,0.0385,216.254,331.756,1951.0,2.1015,0.0,9122.0,1.4909,0.0,0.0,9006.0,2.4206,329.346,369.126,2613.0,1.2246,0.0,9937.0,1.4592,0.0101,327.388,7096.0,1.3247,401.305,318.779,2884.0,2.2885,0.1387,11715.0,1.1012,0.0,0.0,5805.0,2.9285,62.0,22.934,307.0,0.0,0.0,1501.0,0.0,0.0,0.0,419.0,0.0,952.3,755.29,1600.0,16.25,0.0,4138.0,1.1116,0.0,0.0,2773.0,7.8976,0.0,137.755,0.0,0.0,0.0,1349.0,0.0,0.0,0.0,862.0,0.0
1558197000,99.0,21.715,397.0,0.0,0.0,1768.0,0.0,0.0,7.0,1937.0,0.0,297.452,648.315,1419.0,3.0303,0.3524,3079.0,0.5196,0.0,0.0,1981.0,0.7572,289.864,634.218,948.0,0.0,0.0,4546.0,0.176,0.0,0.0,6746.0,0.0,477.76,704.6,1820.0,1.2637,0.0,4052.0,0.2221,0.0247,0.0,2668.0,1.087,6.0,36.44,270.0,0.0,0.0,822.0,0.0,0.0,0.0,868.0,0.0,10.768,32.0,552.0,0.0,0.0,3081.0,0.0,0.0,0.0,2901.0,0.0,40.746,36.075,913.0,0.0,0.0,2869.0,0.0,0.0,0.0,3050.0,0.0,53.0,43.723,335.0,0.0,0.0,1220.0,0.0,0.0,0.0,1246.0,0.0,239.206,247.079,3299.0,3.6981,0.0,12398.0,1.0244,0.0,0.0,6134.0,4.744,251.12,262.28,557.0,1.0772,0.0,1877.0,0.2131,0.0,0.0,2708.0,0.0,220.0,331.37,2605.0,2.9559,0.0,8823.0,1.7454,0.0227,0.0,9084.0,2.3998,266.88,333.395,3123.0,3.0419,0.0,10415.0,0.8737,0.0288,349.049,7312.0,1.5591,370.306,338.224,2822.0,3.3664,0.1417,11446.0,0.996,0.0,0.0,5924.0,2.9541,68.0,17.019,318.0,0.0,0.0,1472.0,0.0,0.0,0.0,436.0,0.0,1506.418,1613.88,2009.0,13.7382,0.0,4640.0,0.3448,0.0216,0.0,2920.0,7.5,0.0,207.74,0.0,0.0,0.0,1360.0,0.0,0.0,0.0,833.0,0.0
1558197300,23.0,21.731,397.0,0.0,0.0,1769.0,0.0,0.0,57.224,1920.0,0.0,362.875,616.745,1325.0,2.566,0.4528,3151.0,0.7617,0.0,0.0,2001.0,0.6997,250.554,656.412,793.0,0.0,0.0,4647.0,0.1291,0.0,0.0,6806.0,0.0,405.574,622.18,1718.0,0.7567,0.0,3470.0,0.4035,0.0,0.0,2707.0,1.1082,29.0,32.098,276.0,0.0,0.0,817.0,0.0,0.0,0.0,868.0,0.0,24.0,38.482,550.0,0.0,0.0,3044.0,0.0,0.0,0.0,2825.0,0.0,85.6,35.302,874.0,0.0,0.0,2860.0,0.0,0.0,0.0,3003.0,0.0,9.0,38.384,329.0,0.0,0.0,1202.0,0.0,0.0,0.0,1236.0,0.0,193.97,248.005,3106.0,3.7991,0.0,12920.0,1.3158,0.0,0.0,6647.0,4.077,203.0,247.66,483.0,0.4141,0.207,1920.0,0.5208,0.0,0.0,2761.0,0.0362,278.923,357.46,2189.0,2.0557,0.0,9254.0,1.5129,0.0,0.0,11863.0,1.7871,456.058,361.257,2657.0,1.3549,0.0,10243.0,1.2887,0.0391,316.376,7604.0,1.4992,350.056,346.51,2991.0,3.3099,0.1337,11570.0,1.1582,0.0,0.0,5944.0,2.961,193.0,25.902,307.0,0.0,0.0,1516.0,0.0,0.0,0.0,443.0,0.0,1966.858,1706.236,1794.0,13.6009,0.0,4794.0,0.7509,0.0209,0.0,2940.0,7.2109,0.0,143.459,0.0,0.0,0.0,1347.0,0.0,0.0,0.0,829.0,0.0
1558197600,76.0,27.0,405.0,0.0,0.0,1789.0,0.0,0.0,9.701,1941.0,0.0,362.875,616.745,1325.0,2.566,0.4528,3151.0,0.7617,0.0,0.0,2001.0,0.6997,250.554,656.412,793.0,0.0,0.0,4647.0,0.1291,0.0,0.0,6806.0,0.0,405.574,622.18,1718.0,0.7567,0.0,3470.0,0.4035,0.0,0.0,2707.0,1.1082,6.0,39.88,277.0,0.0,0.0,820.0,0.0,0.0,0.0,879.0,0.0,47.942,39.412,551.0,0.0,0.0,3088.0,0.0,0.0,0.0,2857.0,0.0,19.121,33.586,931.0,0.0,0.0,2926.0,0.0,0.0,0.0,3060.0,0.0,24.0,39.0,343.0,0.0,0.0,1275.0,0.0,0.0,0.0,1235.0,0.0,193.97,248.005,3106.0,3.7991,0.0,12920.0,1.3158,0.0,0.0,6647.0,4.077,207.0,236.97,497.0,0.0,0.2012,2009.0,0.2987,0.0,0.0,2644.0,0.0,278.923,357.46,2189.0,2.0557,0.0,9254.0,1.5129,0.0,0.0,11863.0,1.7871,456.058,361.257,2657.0,1.3549,0.0,10243.0,1.2887,0.0391,316.376,7604.0,1.4992,350.056,346.51,2991.0,3.3099,0.1337,11570.0,1.1582,0.0,0.0,5944.0,2.961,193.0,17.949,324.0,0.0,0.0,1517.0,0.0,0.0,0.0,443.0,0.0,1966.858,1706.236,1794.0,13.6009,0.0,4794.0,0.7509,0.0209,0.0,2940.0,7.2109,0.0,143.459,0.0,0.0,0.0,1347.0,0.0,0.0,0.0,829.0,0.0
1558197900,83.0,26.695,406.0,0.0,0.0,1810.0,0.0,0.0,10.196,1972.0,0.0,247.932,650.198,1178.0,2.2071,0.4244,3062.0,0.5225,0.0,0.0,1891.0,0.7932,225.324,613.849,834.0,0.0,0.0,4551.0,0.1318,0.0,0.0,6648.0,0.2256,303.105,675.305,1679.0,0.0,0.0,3685.0,0.3799,0.0,0.0,2704.0,1.1095,50.0,27.668,277.0,0.0,0.0,837.0,0.0,0.0,0.0,877.0,0.0,44.732,33.0,563.0,0.0,0.0,3112.0,0.0,0.0,0.0,2844.0,0.0,17.4,41.608,893.0,0.0,0.0,2934.0,0.0,0.0,0.0,3061.0,0.0,5.0,36.008,348.0,0.0,0.0,1257.0,0.0,0.0,0.0,1249.0,0.0,223.2,216.99,3354.0,1.9678,0.0,12500.0,1.32,0.0,0.0,6107.0,4.4867,224.872,339.176,560.0,0.0,0.1786,2065.0,0.5811,0.0,0.0,2713.0,0.0737,263.174,384.816,2417.0,2.3997,0.0,9037.0,1.5271,0.0,0.0,8968.0,2.6093,281.528,357.924,2684.0,2.8316,0.0,9770.0,1.3511,0.0,345.52,7125.0,1.6,301.375,348.21,2525.0,1.9802,0.1584,11395.0,1.1409,0.0,0.0,6002.0,3.1323,68.0,25.937,315.0,0.0,0.0,1521.0,0.0,0.0,0.0,440.0,0.0,2010.445,826.52,1781.0,13.0264,0.0,4480.0,1.1607,0.067,0.0,2885.0,6.5165,0.0,136.5,0.0,0.0,0.0,1350.0,0.0,0.0,0.0,842.0,0.0
