,L_mcrsvrmcrmres,L_mngsvrmngmres,L_mcrsvrallcode,L_mcrsvrcode4xxRateFail,L_mcrsvrcode5xxRateFail,L_mngsvrallcode,L_mngsvrcode4xxRateFail,L_mngsvrcode5xxRateFail,L_mjssvrcode5xxRateFail,L_mjssvrallcode,L_mjssvrcode4xxRateFail
1557936000,169.0,227.0,30097.0,0.7675,0.0,111675.0,0.9993,0.0385,0.0,37314.0,1.4579
1557936300,193.007,220.081,24786.0,1.3879,0.0,150383.0,0.8319,0.0193,0.0,53820.0,0.9643
1557936600,178.926,216.718,8982.0,1.6255,0.0,60832.0,1.5748,0.0247,0.0,20912.0,2.5105
1557936900,177.255,223.151,7903.0,1.7841,0.0,46323.0,2.2235,0.0367,0.0,14538.0,3.7901
1557937200,197.808,229.0,7524.0,1.6348,0.0,41009.0,2.1581,0.0317,0.0,13503.0,4.1102
1557937500,184.688,243.389,8164.0,1.6291,0.0,39860.0,2.3507,0.0151,0.0,11675.0,4.3597
1557937800,180.891,233.155,17609.0,0.9597,0.0,61051.0,1.6281,0.0344,0.0,20139.0,2.6069
1557938100,182.242,228.563,15236.0,1.2602,0.0,78748.0,1.275,0.0267,0.0,28402.0,2.0139
1557938400,179.964,223.595,7037.0,2.0037,0.0,41635.0,2.0199,0.036,0.0,13305.0,4.5697
1557938700,160.876,242.258,6644.0,1.9717,0.0,38721.0,2.2856,0.0232,0.0,11870.0,4.8778
1557939000,187.02,230.0,7719.0,2.0728,0.0,39078.0,2.1368,0.0281,0.0,13443.0,4.2029
1557939300,190.723,226.0,10225.0,1.5257,0.0,45515.0,1.984,0.0088,0.0,13393.0,3.7333
1557939600,158.0,214.449,31628.0,0.6482,0.0,130152.0,0.9796,0.0277,0.0,43008.0,1.2951
1557939900,188.0,218.992,23787.0,1.2402,0.0,168169.0,0.7219,0.0238,0.0,57839.0,0.8662
1557940200,193.274,224.0,8243.0,1.662,0.0,62071.0,1.6417,0.0322,0.0,21213.0,2.5268
1557940500,180.009,214.374,7510.0,2.0107,0.0,48071.0,2.0886,0.0166,0.0,14694.0,3.8859
1557940800,181.224,218.0,7283.0,1.6477,0.0,40909.0,2.2758,0.022,0.0,14434.0,4.3162
1557941100,185.0,221.0,7735.0,1.5514,0.0,38405.0,2.2419,0.0078,0.0,12315.0,4.8802
1557941400,172.032,213.817,19250.0,0.8364,0.0,69683.0,1.4867,0.0287,0.0,22132.0,2.7878
1557941700,229.36,218.514,17717.0,0.9482,0.0,95610.0,1.1557,0.0136,0.0,30950.0,1.8514
1557942000,177.037,222.08,7577.0,1.7685,0.0,44420.0,2.0734,0.0315,0.0,14437.0,3.8512
